Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"JNPR","Juniper Green Energy Limited","Builds and runs large solar, wind, and hybrid power plants. Sells electricity under long-term contracts, mostly to government-backed buyers.","Power sales under PPAs 100% (solar, wind, WSH, FDRE-BESS mix; 7,898 MW portfolio as of May 2025)","Interest costs dominate: FY26 debt/equity 2.75; EBITDA margin ~86% FY26 (fuel-free IPP); detailed expense split data not found","India renewable capacity target ~500 GW by 2030 drives pipeline; market-size figure data not found","1. New capacity commissioning; 2. Interest cost on project debt; 3. Hybrid/FDRE-with-BESS tariff premiums"
"KISSHT","Onemi Technology Solutions Limited","Runs the Kissht phone app that lends small amounts for shopping and business needs. Own software checks borrowers and disburses loans quickly.","App-based digital lending (Kissht brand) ~100%; consolidated mix and loan book data not found","FY25 expenses Rs 237 cr (standalone); detailed split data not found; nearly debt-free (Rs 18-32 cr borrowings)","India digital-lending market size data not found","1. Disbursement volumes and take rates; 2. Credit losses on unsecured loans; 3. RBI regulatory environment"
"KNACK","Knack Packaging Limited","Makes printed and laminated woven polypropylene sacks. Sells to big food, pet food, agri, and chemical brands in India and abroad.","Woven PP bags across food/pet food/agro/chemicals end-use (segment % not disclosed); FY25 revenue Rs 747 cr","Polypropylene resin the dominant cost (exact % data not found); OPM improved 11% FY23 to 18% FY25; borrowings Rs 188 cr FY25","India woven-PP industrial packaging market size data not found","1. Volume from new Rs 320 cr plant; 2. Polypropylene raw-material prices; 3. Export and value-added bag mix"
"KSHINTL","KSH International Limited","Makes magnet winding wires wound into transformers, motors, generators, and EV traction motors. India's third-largest maker and largest exporter.","Standard and specialised magnet winding wires for transformers, motors, EV, railways, T&D (segment % not disclosed); FY26 revenue Rs 3,107 cr","Raw material (copper) dominated cost base with OPM only ~5-6%; debt Rs 321 cr Mar 2026","India winding-wire market size data not found","1. Copper prices; 2. EV traction motor and industrial motor demand; 3. Export volumes"
"KUSUMGAR","Kusumgar Limited","Weaves, coats, and laminates technical nylon and polyester fabrics. Serves defence, aerospace, industrial, automotive, and outdoor customers with 100+ fabric types.","Technical fabrics for defence/aerospace, industrial, outdoor, lifestyle (mix not disclosed); FY25 revenue Rs 790 cr","Raw materials (nylon/polyester yarn) main cost; OPM 23-27% FY24-FY26; borrowings Rs 290 cr FY26","India technical-textiles market size data not found","1. Defence/aerospace order flow; 2. Yarn raw-material prices; 3. Value-added specialty fabric mix"
"LALITHAA","Lalithaa Jewellery Mart Limited","Sells gold, silver, and diamond jewellery through 61 stores in South India, mostly Tier-II/III towns. Draws value-conscious shoppers with savings schemes.","Gold jewellery the primary driver (exact % not disclosed); FY26 revenue Rs 25,040 cr; 61 stores, 60% revenue from Tier-II/III","Cost of gold dominates (2% net margin FY24-FY25, 4% FY26); borrowings Rs 2,045 cr Mar 2026; customer advances Rs 5,043 cr FY26","India organised jewellery retail market size data not found","1. Gold price levels and inventory gains; 2. New store openings and revenue per store (Rs 410 cr FY26); 3. Customer advance scheme float"
"LASERPOWER","Laser Power & Infra Limited","Makes power cables and conductors in Kolkata and builds power-distribution EPC projects such as rural electrification and substations for utilities.","Cables/conductors manufacturing plus EPC turnkey projects (mix not disclosed); FY25 revenue Rs 2,593 cr","FY26 interest Rs 133 cr; OPM 9% FY24 to 13% FY26; debt Rs 478 cr Mar 2026; copper/aluminium conductor costs dominate","India power cable and distribution-infrastructure market size data not found","1. EPC order book execution; 2. Cable/conductor manufacturing margins; 3. Interest costs and utility receivables recovery"
"LCL","Lohia Corp Limited","Builds the machines that make woven plastic sacks — circular looms, extrusion lines, winders — plus spares and field service. Sells worldwide.","Machinery sales plus aftermarket spares and service (mix not disclosed); FY26 revenue Rs 1,738 cr, EBITDA margin 19.5%","FY26 total expenses Rs 1,323 cr; debt cut to Rs 119 cr FY26; detailed split data not found","Global woven-sack machinery market size data not found","1. Export order book for looms and extrusion lines; 2. High-margin spares and service; 3. Operating leverage on revenue recovery"
"LEAPIND","Leap India Limited","Rents pallets, crates, and forklifts to factories and logistics firms on a share-and-return pooling model. Over 1,000 customers share one asset pool.","Asset pooling/rental ~100% (pallets, containers, material handling, forklifts); FY26 revenue Rs 747 cr","Depreciation Rs 140 cr and interest Rs 58 cr FY25 sit under a 60% OPM; borrowings Rs 1,155 cr FY25; debtor days 174","India pallet-pooling / returnable-packaging market size data not found","1. Asset utilisation and pallet turns; 2. Depreciation and interest on leased assets; 3. Customer adds in FMCG, 3PL, quick commerce"
"MANIPALHOS","Manipal Health Enterprises Limited","Runs one of India's largest private multi-specialty hospital chains plus clinics and diagnostic centres. Patients and insurers pay for treatment and tests.","Hospital services the core, plus clinics and diagnostics (mix not disclosed); FY26 consolidated revenue Rs 10,336 cr","Standalone FY25 OPM 27%; staff and clinical consumables dominate (split data not found); borrowings Rs 2,516 cr FY25","India private-hospital market size data not found","1. Occupancy and ARPOB; 2. New bed additions and ramp-ups; 3. Payor mix (insured vs government-scheme pricing)"
