"Ticker","Company","BusinessModel","RevenueStreams","Expenses","TAM","PL_Top3_Contributors"
"JYOTICNC","Jyoti CNC Automation Ltd","Makes CNC machine tools - computer-controlled metal-cutting machines. Sells 200+ variants incl 5-axis machines to aerospace, defence, auto and engineering buyers. Holds ~10% share of India 5-axis CNC segment.","CNC turning centres, machining centres, 5-axis machines across 44 verticals; executed 4,072 machines FY25 and 5,550 FY26 at avg ~Rs 35.62 lakh each (standalone FY26); segment-wise revenue split data not found","Raw materials/inputs dominate cost (data not found %); OPM 27% FY25; finance costs low (debt Rs 853 cr Mar 2026); working capital heavy - cash cycle 359 days","India machine tools market est USD 4-5 bn annually, import-dominated at high end (industry estimates); precise figure data not found","Aerospace & defence 5-axis orders; Indian auto/engineering capex cycle; operating leverage (PAT +109% FY25 on +36% sales)"
"EPACKPEB","EPack Prefab Technologies Ltd","Makes pre-engineered steel buildings - factory-built structures bolted together on site as warehouses and factories. Handles design through erection turnkey. Sells to industrial, commercial and infrastructure clients in India and abroad.","PEB & prefab solutions (turnkey design-manufacture-erect); industrial, commercial, infrastructure, institutional plus exports; segment-wise split data not found; sales Rs 1,134 cr FY25, Rs 1,525 cr FY26","Steel raw material dominates (data not found %); finance cost Rs 32 cr FY26 (~2.3% of sales); depreciation Rs 23 cr FY26; OPM ~10%","India PEB industry est Rs 15,000-20,000 cr, growing double-digits (industry estimates); precise figure data not found","Steel price pass-through on margins; industrial/warehouse capex cycle; operating leverage (PAT +58% FY26 on +34% sales)"
"INDGN","Indegene Ltd","Serves the world's top 20 biopharma companies - runs their regulatory work, drug-launch operations, medical content and patient programmes on AI-enabled platforms. Earns mostly in dollars.","Discovery & evidence, regulatory & compliance, commercial launch, content & engagement, patient & outcomes; revenue Rs 2,839 cr FY25; segment split data not found","Employee costs dominate (people business, % data not found); interest Rs 22 cr FY25; depreciation Rs 80 cr FY25; OPM 19% FY25","Global life-sciences commercialisation services spend runs into tens of billions USD (industry estimates); precise figure data not found","Outsourcing budgets of top-20 biopharma clients; employee cost/utilisation; AI-driven margin leverage (PAT +21% FY25 on +10% sales)"
"SURAKSHA","Suraksha Diagnostic Ltd","Runs a diagnostics chain in Eastern India - 1,000+ pathology and 450+ radiology tests via a hub-and-spoke network. Sells mostly to walk-in patients plus some hospital contracts.","B2C pathology & radiology testing (hub-and-spoke), some B2B contracts; revenue Rs 252 cr FY25, Rs 310 cr FY26; detailed mix data not found","Operating costs (reagents, collection network) dominate, % data not found; depreciation Rs 35 cr FY25; OPM ~33% FY25","Indian diagnostics market est Rs 80,000+ cr, largely unorganised (industry estimates); precise figure data not found","Test volumes from network expansion; high-value radiology tests; operating leverage vs new-centre depreciation (PAT flat FY26)"
"FEDFINA","Fedbank Financial Services Ltd","Federal Bank's retail lending arm. Lends against gold jewellery and gives home loans, loans-against-property and business loans, mainly to small-town borrowers.","Gold loans, home loans, LAP, business loans (AUM mix % data not found); revenue Rs 2,037 cr FY25, PAT Rs 225 cr FY25","Finance cost (borrowings) dominates - 2nd lowest cost of funds among gold/MSME peers; credit provisions (GNPA 1.87% Mar 2025); exact heads data not found","India gold-loan market est Rs 4-6 lakh cr largely informal; MSME credit gap Rs 20+ lakh cr (industry estimates)","Credit costs/GNPA trajectory; gold-loan book growth (low NPA, high yield); low cost of funds via Federal Bank parentage"
"IRMENERGY","IRM Energy Ltd","Pipes natural gas - CNG for vehicles and PNG for homes and factories - under exclusive city-gas licences for Banaskantha (Gujarat) and Diu & Gir Somnath, with 25-year infrastructure exclusivity.","CNG (transport), domestic PNG, industrial PNG; sales Rs 975 cr FY25; volume-wise split data not found","Cost of gas (dominant, % data not found); interest Rs 22 cr FY25; depreciation Rs 35 cr FY25; OPM fell 17% FY24 to 10% FY25","India natural gas market est USD 40-50 bn annually, gas targeted to reach 15% of energy mix (industry estimates)","Industrial PNG volumes and spreads; CNG volume growth from vehicle conversions; capex tapering cutting depreciation and interest"
"AEGISVOPAK","Aegis Vopak Terminals Ltd","Owns and runs LPG and liquid-chemical storage tanks at Indian ports - rents tank capacity to importers and traders. A JV between Aegis Logistics (India) and Royal Vopak (Netherlands).","Tank storage revenue from LPG and liquid terminals; sales Rs 789 cr FY25, TTM Rs 904 cr; OPM 73-75%; product-wise split data not found","Operating costs low (OPM ~74%); interest Rs 193 cr FY25 falling to Rs 110 cr FY26; depreciation Rs 148-208 cr; borrowings Rs 3,731 cr FY26","India imports 60%+ of LPG; terminal storage TAM precise figure data not found","New tank capacity additions (74% OPM); LPG/chemical import volume growth; finance cost reduction on Rs 3,731 cr debt"
"BANSALWIRE","Bansal Wire Industries Ltd","Draws steel and other metals into wire - stainless, high-carbon and speciality wires for cars, fans, fasteners and tools. India's largest stainless-steel wire maker by volume, 2nd largest wire maker overall.","Stainless steel wire (largest in India by volume), high-carbon/medium-carbon, speciality wires; sales Rs 3,507 cr FY25; segment split % data not found","Raw material (steel rod) dominates, % data not found; OPM only 8% FY25; interest Rs 60 cr TTM; depreciation Rs 60 cr TTM; borrowings Rs 555 cr Mar 2026","India wire-drawing industry est Rs 25,000-30,000 cr, fragmented (industry estimates); precise figure data not found","Steel rod price spreads; auto/industrial component demand; volume growth and operating leverage (PAT +95% FY25 on +42% sales)"
"MEIL","Mangal Electrical Industries Ltd","Makes transformer components - CRGO cores, cut laminations, core assemblies, amorphous cores - plus transformers up to 10 MVA, circuit breakers and substation EPC. Serves India's power-transmission equipment makers.","CRGO processing (coils, laminations, core assemblies), amorphous cores, transformers 5 KVA-10 MVA, circuit breakers, CRGO/CRNO trading, substation EPC; sales Rs 549 cr FY25, Rs 580 cr FY26; split data not found","Cost of materials (CRGO steel, import-dependent) dominates, % data not found; interest Rs 12 cr FY26; depreciation Rs 6 cr FY26; OPM 15% FY25, 12% FY26","India transformer & core market est Rs 30,000+ cr amid global transformer shortage (industry estimates); precise figure data not found","Power transmission capex demand; CRGO raw material cost/pass-through; debt reduction cutting interest burden"
"IVALUE","Ivalue Infosolutions Ltd","Distributes and integrates enterprise tech - cybersecurity, networking and data-centre gear - for mid-size Indian companies through channel partners and global OEMs.","Cybersecurity and data-centre infrastructure distribution & services via channel; revenue Rs 923 cr FY25, TTM Rs 1,007 cr; segment mix % data not found","Cost of goods (hardware pass-through) dominates, % data not found; interest Rs 11 cr TTM; depreciation Rs 7 cr TTM; OPM 12-14%","India cybersecurity market est USD 3-4 bn plus data-centre buildout (industry estimates); precise combined TAM data not found","Cybersecurity product sales; data-centre infrastructure demand; gross-margin mix (services/rebates vs hardware)"
